ID	中文名称	物品类型	武器种类	位置	模型ID	图标	物品描述	品质	增加气血	内力	伤害	防御	攻速	暴击伤害加成	暴击概率提升	交易金钱	堆叠数量	交易元宝	部队气血	部队攻击	部队防御	武器尺寸	脚本	技能	需要等级
13	刃牙	1	8	1	182		分水刺，多为女子使用，轻巧灵便，威力尚可				102	0	90			500									
22	火舌	1	8	1	183		分水刺，多为女子使用，轻巧灵便，威力尚可				67	30	90			500									
31	虎爪	1	8	1	184		分水刺，多为女子使用，轻巧灵便，威力尚可				74	7	120			500									
40	星星	1	8	1	185		分水刺，多为女子使用，轻巧灵便，威力尚可				127	50	110			500									
																									
																									
5	蛇吻	1	1	1	241		铁匕，轻便且具不俗杀伤力				90	15	100			500									
14	噬魂	1	1	1	242		铁匕，轻便且具不俗杀伤力	0	0	0	108	0	90	0	0	500	1		0	0	0			0	
23	金刚	1	1	1	243		铁匕，轻便且具不俗杀伤力				71	30	90			500									
32	炎玉	1	1	1	244		铁匕，轻便且具不俗杀伤力				78	7	120			500									
41	拐杖糖	1	1	1	245		铁匕，轻便且具不俗杀伤力				135	50	110			500									
246	匕-焰莲	1	1	1	246		焰莲	0	0	0	150	15	0			500	1								
247	匕-钝齿	1	1	1	247		锯齿				150	15	100			500	1								
248	匕-寒铁	1	1	1	248						150	15	100												
249	匕首-锋芒	1	1	1	249						150	15	100												
250	匕首-锋刃	1	1	1	250						150	15	100												
251	匕首-黑铁	1	1	1	251						150	15	100												
252	匕首-金钥匙	1	1	1	252						150	15	100												
253	匕首-冷月	1	1	1	253						150	15	100												
6	碧血剑	1	0	1	301		长剑	0	0	0	110	15	100	0	0	500	1		0	0	0			0	
15	修罗剑	1	0	1	302		长剑				133	0	90			500									
24	焰魔剑	1	0	1	303		长剑				86	30	90			500									
33	龙吟剑	1	0	1	304		长剑				95	7	120			500									
42	仙女棒	1	0	1	305		长剑				165	50	110			500									
306	裴旻剑	1	0	1	306		裴旻剑				150	15	100			500									
307	辟邪	1	0	1	307		辟邪	0			150	15	100			500									
308	太极	1	0	1	308						150	15	100												
309	凝碧	1	0	1	309						150	15	100												
310	凝霞	1	0	1	310						150	15	100												
311	凝青	1	0	1	311						150	15	100												
312	凝霜	1	0	1	312						150	15	100												
313	漠白	1	0	1	313						150	15	100												
314	霜白	1	0	1	314						150	15	100												
315	桃木	1	0	1	315						150	15	100												
316	太极	1	0	1	316						150	15	100												
317	百炼	1	0	1	317						150	15	100												
318	蓝剑	1	0	1	318						150	15	100												
319	龙蝎	1	0	1	319						150	15	100												
320	龙形剑	1	0	1	320						150	15	100												
321	湛卢	1	0	1	321						150	15	100												
322	红剑	1	0	1	322						150	15	100												
323	金翎剑	1	0	1	323						150	15	100												
324	雷刺	1	0	1	324						150	15	100												
325	青虹	1	0	1	325						150	15	100												
326	青锋	1	0	1	326						150	15	100												
327	七星	1	0	1	327						150	15	100												
328	承影	1	0	1	328						150	15	100												
329	王者之剑	1	0	1	329						150	15	100												
330	石中剑	1	0	1	330						150	15	100												
331	剑	1	0	1	331						150	15	100												
332	星芒	1	0	1	332						150	15	100												
333	阴阳剑	1	0	1	333						150	15	100												
334	紫霄	1	0	1	334						150	15	100												
335	松纹	1	0	1	335						150	15	100												
336	青钢剑	1	0	1	336						150	15	100												
337	魔剑	1	0	1	337						150	15	100												
7	战戟	1	7	1	361		多为将军批甲出征使用，部分武林高手也极喜爱				115	15	100			500									
16	偃月	1	7	1	362		多为将军批甲出征使用，部分武林高手也极喜爱				140	0	90			500									
25	七煞	1	7	1	363		多为将军批甲出征使用，部分武林高手也极喜爱				90	30	90			500									
34	蝎毒	1	7	1	364		多为将军批甲出征使用，部分武林高手也极喜爱				100	7	120			500									
43	雪地铲	1	7	1	365		多为将军批甲出征使用，部分武林高手也极喜爱				172	50	110			500									
366	长枪-炽血	1	7	1	366						150	15	100			500									
367	斩马	1	7	1	367						150	15	100			500									
368	方天画戟	1	7	1	368						150	15	100			500									
369	战缨	1	7	1	369						150	15	100												
370	火云三尖枪	1	7	1	370						150	15	100												
371	战魂	1	7	1	371						150	15	100												
372	冰魄三尖枪	1	7	1	372						150	15	100												
373	红枪	1	7	1	373						150	15	100												
374	蓝钢	1	7	1	374						150	15	100												
375	湛铁	1	7	1	375						150	15	100												
376	朱缨枪	1	7	1	376						150	15	100												
377	龙胆亮银枪	1	7	1	377						150	15	100												
378	三叉戟	1	7	1	378						150	15	100												
379	亮银塑	1	7	1	379						150	15	100												
380	地火玄卢枪	1	7	1	380						150	15	100												
381	佛母紫金枪	1	7	1	381						150	15	100												
382	死亡钩镰	1	7	1	382						150	15	100												
383	冰封	1	7	1	383						150	15	100												
384	横斩	1	7	1	384						150	15	100												
385	沥泉	1	7	1	385						150	15	100												
386	飞鱼斩	1	7	1	386						150	15	100												
387	青龙斩	1	7	1	387						150	15	100												
388	雁翎枪	1	7	1	388						150	15	100												
389	火焰钩镰枪	1	7	1	389						150	15	100												
390	黄龙斩	1	7	1	390						150	15	100												
391	朴刀	1	7	1	391						150	15	100												
392	青锋斩	1	7	1	392						150	15	100												
393	凤翅镏金镋	1	7	1	393						150	15	100												
394	天命战戟	1	7	1	394						150	15	100												
395	化龙擎天戟	1	7	1	395						150	15	100												
396	天龙破城戟	1	7	1	396						150	15	100												
397	双铁戟	1	7	1	397						150	15	100												
398	五钩神飞枪	1	7	1	398						150	15	100												
399	亮银三叉戟	1	7	1	399						150	15	100												
400	双月锁金戟	1	7	1	400						150	15	100												
401	铁戈-枪类最初级武器	1	7	1	401						150	15	100												
402	黑铁斧戟	1	7	1	402						150	15	100												
											150	15	100												
8	斩铁	1	5	1	421		刀是兵之霸者				130	15	100			500									
17	紫鳞	1	5	1	422		刀是兵之霸者				158	0	90			500									
26	狂怒	1	5	1	423		刀是兵之霸者				101	30	90			500									
35	逆刃	1	5	1	424		刀是兵之霸者				117	7	120			500									
44	抓扒子	1	5	1	425		刀是兵之霸者				195	50	110			500									
426	枯骨	1	5	1	426		枯骨刀				150	15	100			500									
427	鬼头刀	1	5	1	427		鬼头刀				150	15	100	0		500	1								
428	骨刺	1	5	1	428		骨刺				150	15	100			500	1								
429	破魂	1	5	1	429						150	15	100			500	1								
430	破炎	1	5	1	430						150	15	100			500	1								
431	破刃	1	5	1	431						150	15	100			500									
432	破翎	1	5	1	432						150	15	100			500									
433	寒霜	1	5	1	433						150	15	100												
434	寒银	1	5	1	434						150	15	100												
435	劈水	1	5	1	435						150	15	100												
436	劈山	1	5	1	436						150	15	100												
437	伏羲巨剑	1	5	1	437						150	15	100												
438	寒冰斩	1	5	1	438						150	15	100												
439	虎骨刀	1	5	1	439						150	15	100												
440	金丝大环刀	1	5	1	440						150	15	100												
441	逆鳞	1	5	1	441						150	15	100												
442	睚眦	1	5	1	442						150	15	100												
9	流星	1	4	1	481		中原武林好强极喜的重型武器，没几个人能够挡住大招				140	15	100			500									
18	破山	1	4	1	482		中原武林好强极喜的重型武器，没几个人能够挡住大招				171	0	90			500									
27	地动	1	4	1	483		中原武林好强极喜的重型武器，没几个人能够挡住大招				108	30	90			500									
36	狼牙	1	4	1	484		中原武林好强极喜的重型武器，没几个人能够挡住大招				121	7	120			500									
45	棒棒糖	1	4	1	485		中原武林好强极喜的重型武器，没几个人能够挡住大招				210	50	110			500									
486	锤子-雷神	1	4	1	486						150	15	100	0		500	1								
487	锤子-巨影	1	4	1	487						150	15	100												
488	锤子-金刚	1	4	1	488						150	15	100												
489	碎石	1	4	1	489						150	15	100												
490	莲花法锤	1	4	1	490						150	15	100												
491	巨锥	1	4	1	491						150	15	100												
492	浑金	1	4	1	492						150	15	100												
47	乾坤刀A	1	9	1	541		以唐刀为原型的日本刀，刀鞘与刀身可拼接，长可为枪，短可为刀				112	15	100	0		500	1								
48	乾坤刀B	1	9	1	542		日本刀，刀入刀鞘，可切换姿势				135	0	90	0		500	1								
49	乾坤刀C	1	9	1	543		日本刀，刀入刀鞘，可切换姿势				88	30	90	0		500	1								
50	乾坤刀D	1	9	1	544						98	7	120			500	1								
545	霓凰乾坤刀	1	9	1	545						150	15	100			500	1								
																									
																									
																									
51	指虎	1	10	1	601		灵便的新式武器装备，少有人善用此武器				87	15	100	0		500	1								
52	指虎	1	10	1	602		灵便的新式武器装备，少有人善用此武器				98	0	90			500									
53	指虎	1	10	1	603		灵便的新式武器装备，少有人善用此武器				65	30	90			500									
54	指虎	1	10	1	604		灵便的新式武器装备，少有人善用此武器				72	7	120			500									
605	折骨双扇	1	10	1	605						150	15	100			500	1								
606	拳盾	1	10	1	606						150	15	100			500									
607	刃爪	1	10	1	607						100	15	100												
608	虎爪	1	10	1	608						100	15	100												
											100	15	100												
55	忍者刀	1	11	1	661		东瀛忍者使用的武器，极其诡异				100	15	100	0		500	1								
56	忍者刀	1	11	1	662		东瀛忍者使用的武器，极其诡异				120	15	90	0		500	1								
57	忍者刀	1	11	1	663		东瀛忍者使用的武器，极其诡异				80	30	90	0		500	1								
58	忍者刀	1	11	1	664		东瀛忍者使用的武器，极其诡异				90	7	120	0		500	1								
665	剔骨	1	11	1	665						120	7	10												
1004	疗伤药	3	0	0	1004	1004	立即恢复50气血值	0	50	0	0	0	0	0	0	125	99		0	0	0				
1005	小袋铜钱	8	0	0	11		使用后获得500文钱									500	1								
1006	一袋铜钱	8	0	0	11		使用后获得1500文钱									1500	1								
1007	木制钥匙	2			4		用来打开骷髅宝箱										20								
1008	黄铜钥匙	2			1		用来打开黄铜宝箱										20								
1009	白银钥匙	2			3		用来打开白银宝箱										20								
1010	黄金钥匙	2			2		用来打开黄金宝箱										20								
