副本ID	对话ID	模型ID	模型位置	名称	对话内容	对话节点	怪物id	跳过剧情	对话时长	音频文件	动作ID	模型缩放	
1011	12	4001	2	妮得	你是新人，不会引人耳目，就由你负责查探他们的行踪。这里是通讯器，随时保持联系。	1		1			S1000	1	
1011	13	4000	1	[gamername]	遵命，长官！	1		1			S1000	1	
1011	10	1008	2	瑞雯	是履带的痕迹，3英寸螺旋花纹，没错，就是禁军！	3		1			S1000	1	
1011	11	4000	1	[gamername]	小心，瑞雯，背后有魔物！	3		1			S1000	1	
1011	10	1008	2	瑞雯	我试着恢复了痕迹，看来他们去了北边的废弃村庄。	4		1			S1000	1	
1011	11	4000	1	[gamername]	我不信他们会对废弃村庄感兴趣，跟上去看看！	4		1			S1000	1	
1012	10	4000	1	[gamername]	这阵势不像是潜行，10个，不，他们有12个！	3		1			S1000	1	
1012	11	1008	2	瑞雯	看来我们人手不够。	3		1			S1000	1	
1012	12	1018	2	洛丽	从回忆中苏醒的洛丽之魂，接受[gamername]之召唤！	3		1			S2000	1	
1012	13	1018	2	洛丽	好久没人唤醒过我了。这次最好是刺激的战斗，不然我可不会放过你。	3		1			S1000	1	
1012	14	4000	1	[gamername]	瑞雯，我们已经到了不得不让小孩出战的地步了？	3		1			S1000	1	
1012	15	1008	2	瑞雯	洛丽不是一般的小孩，她是被禁军称为杀伤性武器的战争机器。	3		1			S1000	1	
1012	10	1008	2	瑞雯	洛丽，住手，先不要赶尽杀绝，看他们往哪里撤退。	5	1020	1			S1000	1	
1012	11	4000	1	[gamername]	瑞雯说得没错，我们悄悄跟过去。	5	1020	1			S1000	1	
1013	10	4000	1	[gamername]	怎么又回到了这里，难道附近有他们的据点？	3		1			S1000	1	
1013	11	1008	2	瑞雯	可能性很大，切，他们太隐蔽了，第一次竟然没有发现。	3		1			S1000	1	
1014	10	1008	2	瑞雯	……禁军的精英哨兵，你猜得没错，这里正是他们的老巢。 	3		1			S1000	1	
1014	11	4000	1	[gamername]	这次总该能找到点什么！	3		1			S1000	1	
1014	12	1008	2	瑞雯	那里有警报器，每隔5分钟就会排查一次。我们的行动时间不多。	3		1			S1000	1	
1014	13	4000	1	[gamername]	不愧是放逐之刃，对禁军这么了解！	3		1			S1000	1	
1014	14	1008	2	瑞雯	和禁军战斗久了，对他们的器械，多多少少有所了解。	3		1			S1000	1	
1014	10	4000	1	[gamername]	其实我一直想问，你曾经效命过奥斯维尔那样的大英雄，最后为什么会选择我？	5	1040	1			S1000	1	
1014	11	1008	2	瑞雯	这不是我的选择，是魂石的。我也一度怀疑过，一般魂石只会给英雄配备能力相当的召唤师。	5	1040	1			S1000	1	
1014	12	1018	2	洛丽	……嘘，有人在呼救，好像来自教堂方向！	5	1040	1			S1000	1	
1015	10	1021	2	圣骑士	终于有人来了，我是圣光守护者乌瑟尔，请帮我打开笼子，感激不尽！	3		1			S1000	1	
1015	11	4000	1	[gamername]	圣光守护者？你怎么会被关在这里？	3		1			S1000	1	
1015	12	1021	2	圣骑士	阿莉塞女王强迫我用圣光来搜寻某种东西，我拒绝合作，接下来的事，你们都看到了。	3		1			S1000	1	
1015	13	1018	2	洛丽	嘘，有人过来了！	3		1			S1000	1	
1016	10	4000	1	[gamername]	阿莉塞女王要找的东西，到底是什么？	1		1			S1000	1	
1016	11	1021	2	圣骑士	不清楚，我试探过他们，但这里的禁军都很谨慎。	1		1			S1000	1	
1016	12	4000	1	[gamername]	但是，能被圣光感应到的东西，一定很不寻常。	1		1			S1000	1	
1016	13	1021	2	圣骑士	看来有必要去会会这个所谓的女王！	1		1			S1000	1	
1016	10	4005	2	刀锋女王	竟然放走了圣骑士，你们想好用什么偿还了吗！	5	5006	1			S1000	1	
1016	11	4000	1	[gamername]	——那就还你绝望，怎么样？	5	5006	1			S1000	1	
1016	12	4000	1	[gamername]	你要找的东西，到底是什么？	5	5006	1			S1000	1	
1016	13	4005	2	刀锋女王	别着急，很快你们就能去地狱寻找答案了，哈哈哈哈哈……呃啊！	5	5006	1			S1000	1	
1021	10	4001	2	妮得	干得不错！本来只让你随便查一下，没想到直接端了疯婆子的基地。	1		1			S1000	1	
1021	11	4001	2	妮得	线人跟踪了疯婆子的手下，发现他们运出一批货物到[46f1f3]熵洲军火库[-]，你去查一下究竟是什么。	1		1			S1000	1	
1021	10	1008	2	瑞雯	好奇怪，如果这里有重要的东西，入口处的戒备也未免太不森严了。	3		1			S1000	1	
1021	11	4000	1	[gamername]	在小看我们吗？可恶的禁军！	3		1			S1000	1	
1021	10	4000	1	[gamername]	引线？！糟糕，是个圈套！快逃！	4		1			S1000	1	
1022	10	4000	1	[gamername]	只有一条路，看来我们别无选择……等等，这里是……	3		1			S1000	1	
1022	11	1008	2	瑞雯	冥想神殿，属于沙漠死神内瑟斯，他是强大的半神，这里曾经的统治者。	3		1			S1000	1	
1022	12	4001	2	阿努比斯	入侵者！快去禀报死神殿下！	3		1			S1000	0.5	
1022	13	1008	2	瑞雯	拦住他！内瑟斯不喜欢人类！	3		1			S1000	1	
1022	10	1014	2	神牛	人类！这里是神牛一族的圣地，请自觉离开！	5	5008	1			S1000	1	
1022	10	4000	1	[gamername]	我们不是故意闯入的，是禁军设计了爆炸，然后把我们引到这里。	4		1			S1000	1	
1022	11	1014	2	神牛	这样……看来禁军想利用神牛家族的愤怒，消灭你们！	4		1			S1000	1	
1022	12	4000	1	[gamername]	卑鄙的禁军！	4		1			S1000	1	
1022	13	1014	2	神牛	愚弄神牛一族的人，必将付出代价！听着，我会送你们出去。	4		1			S1000	1	
1022	14	1008	2	瑞雯	不过……出口被爆炸的碎石堵住了。	4		1			S1000	1	
1022	15	1014	2	神牛	这里是艾洛斯之轮，有了它，你们可以用意念制造出传送之门。	4		1			S1000	1	
1022	16	1014	2	神牛	要目的地在我的管辖内，就可以瞬间移动。	4		1			S1000	1	
1023	10	4001	2	妮得	你们的事情我知道了。看来禁军不仅知道我们追踪了他们，还反将了一军。	1		1			S1000	1	
1023	11	4001	2	妮得	更糟糕的是，他们趁着爆炸的混乱偷走了[f3466e]魔导柱[-]。	1		1			S1000	1	
1023	12	4001	2	妮得	魔导柱可以用来召唤超级英雄。正因为超级英雄们的加入，联军才能逆转局势。	1		1			S1000	1	
1023	13	4001	2	妮得	里面的厉害关系，不用说你也知道吧，趁他们还没溜掉，快去[46f1f3]魔导要塞[-]夺回它！	1		1			S1000	1	
1023	10	4000	1	[gamername]	嗷！我的眼睛！这是什么？	3		1			S1000	1	
1023	11	1021	2	圣骑士	这是用圣光穗羽做成的圣器，它好像对什么东西有所反应。	3		1			S1000	1	
1023	10	4000	1	[gamername]	乌瑟尔，你就不能把那玩意儿挪开吗？闪得我眼花缭乱。	4		1			S1000	1	
1023	11	1021	2	圣骑士	圣光穗羽的光芒更强了……好像……是对魔导柱有反应。	4		1			S1000	1	
1023	12	4000	1	[gamername]	难道……塞莉亚想用圣光寻找的东西就是魔导柱！	4		1			S1000	1	
1023	13	1008	2	瑞雯	这样就太糟糕了，即便夺回了魔导柱，禁军知道它的存在，本身就是巨大的威胁。	4		1			S1000	1	
1024	10	4001	2	妮得	魔导柱需要转移到狂吠之地尽头的保护区。但那里是现在被炎兽围堵，极度危险。	1		1			S1000	1	
1024	10	4001	2	妮得	我要你确保工程队安全抵达。	1		1			S1000	1	
1025	10	4001	2	妮得	[gamername]，你所在的区域有异常震动。我需要你去附近的纳艾卡之洞查看！	1		1			S1000	1	
1025	11	4000	1	[gamername]	异常震动？难道不是地震？	1		1			S1000	1	
1025	12	4001	2	妮得	不，检测不到地震波。估计是巨大魔物造成的震动。	1		1			S1000	1	
1025	13	4001	2	妮得	纳艾卡之洞不仅是魔窟，也是奥斯维尔当初镇压了很多大型魔物的地方，那里很可能是震动源。	1		1			S1000	1	
1025	10	4001	2	地牢术士	哦，是你们，联军的兔崽子们，无处不在的苍蝇。	5	5011	1			S1000	0.5	
1025	11	4000	1	[gamername]	废话少说，震动是怎么回事？你们要干什么！	5	5011	1			S1000	1	
1025	12	4001	2	地牢术士	重要的东西还没到手，我们不会就此止步。	5	5011	1			S1000	0.5	
1025	13	4000	1	[gamername]	放弃吧！如果不知道怎么做，让我来教你！	5	5011	1			S1000	1	
1025	10	4001	2	地牢术士	联军的兔崽子们，抓住最后的时间得意吧……	4		1			S1000	0.5	
1025	11	4000	1	[gamername]	我们的伟大战士已经冲破牢笼……成功指日可待……	4		1			S1000	1	
1026	10	1018	2	洛丽	震得更厉害了！你们确定不逃？我可不想被砸成肉酱！	1		1			S1000	1	
1026	11	1008	2	瑞雯	慢着，我记得这里是[46f1f3]地狱洞窟[-]，奥斯维尔关押反叛英雄[f3466e]阿比诺旦[-]的地方。	1		1			S1000	1	
1026	12	1008	2	瑞雯	但是它不在这里。	1		1			S1000	1	
1026	13	4000	1	[gamername]	这里有断掉的锁链，土壤有烧焦的痕迹——显然他就是地牢术士说的那个，“冲破牢笼的伟大战士”。	1		1			S1000	1	
1026	10	4012	2	阿比诺旦	烧！烧！魔导柱！必须找到魔导柱！魔导柱在狂吠之地！	3		1			S1000	0.5	
1026	11	1008	2	瑞雯	阿比诺旦，你的刑期还没有结束！还想为你的罪孽，再加上一笔吗！	3		1			S1000	1	
1026	12	4012	2	阿比诺旦	你？！放逐之刃？！奥斯维尔的走狗！终于可以算清旧账了！烧！烧！	3		1			S1000	0.5	
1026	10	4000	1	[gamername]	为什么他还在这里？	4		1			S1000	1	
1026	11	1008	2	瑞雯	他和我们一样，都是英雄。英雄可以被打败，但我们会永远在回忆中，直到被下一个人召唤。	4		1			S1000	1	
1026	12	4012	2	阿比诺旦	我……不会变成回忆！愤怒之火会把你们都烧成灰烬！只要我找到魔导柱，我就能得到力量！	4		1			S1000	0.5	
1026	13	4000	1	[gamername]	抱歉，喷火的老干妈，你再也没有这个机会了。	4		1			S1000	1	
1026	10	4000	1	[gamername]	这个阿比诺旦曾经效忠过哪个召唤师？他为什么会反叛？	2		1			S1000	1	
1026	11	1008	2	瑞雯	……奥斯维尔。我们是第一批受召的英雄。但是阿比诺旦是地狱之神，他认为自己不该被人类奴役。他想烧死奥斯维尔，好解除召唤的契约。	2		1			S1000	1	
1026	12	4000	1	[gamername]	原来英雄可以通过杀死召唤师解除契约？！	2		1			S1000	1	
1026	13	1008	2	瑞雯	只有极少一部分可以，地狱之神拥有强大的神力，所以契约对他的约束力不强。	2		1			S1000	1	
1026	14	4000	1	[gamername]	原来是这样。那你们，曾经是同伴？	2		1			S1000	1	
1026	15	1008	2	瑞雯	同伴？那种东西我从来没有过。我只为自己的正义而战。	2		1			S1000	1	
1031	10	4001	2	妮得	阿比诺旦的事你们做得很好。	1		1			S1000	1	
1031	11	4001	2	妮得	不过有一点蹊跷，之前一直紧追着魔导柱的部队突然撤退了。	1		1			S1000	1	
1031	12	4000	1	[gamername]	是不是他们已经拿到了什么东西？或者得到了什么信息？	1		1			S1000	1	
1031	13	4001	2	妮得	这就是情报部的工作了。总之你们先去禁忌森林跟踪肉山的调查队伍，肉山和阿莉塞那疯婆子一样，行动也很诡异。	1		1			S1000	1	
1031	10	4001	2	狼人	可爱的洛丽，好久不见。你的肉，看起来越来越鲜嫩了。	5	5013	1			S1000	1	
1031	11	1018	2	洛丽	节食吧，老狼。你的胆固醇太高，看来已经威胁到智商了！	5	5013	1			S1000	1	
1031	12	4000	1	[gamername]	你们认识？那这位狼先生，你在附近看到过禁军吗？	5	5013	1			S1000	1	
1031	13	4001	2	狼人	陌生人！你的肌肉看起来也很有嚼劲！哦，我忘了说，我在饥饿的时候是不会回答问题的！	5	5013	1			S1000	1	
1031	14	1018	2	洛丽	[gamername]，小心！	5	5013	1			S1000	1	
1031	10	4000	1	[gamername]	洛丽，为什么拦住我？	4		1			S1000	1	
1031	11	1018	2	洛丽	这家伙虽然吃人，但是个可靠的队友，我们合作过。虽然比我差一大截，但他的鼻子比狗还灵，可以帮助我们。	4		1			S1000	1	
1031	12	4000	1	[gamername]	可他的样子看起来很不稳定……口水流得像条河！	4		1			S1000	1	
1031	13	1018	2	洛丽	没关系，我跟他合作的时候他也一直想吃我！这时候随便找个禁军投喂他就行了！	4		1			S1000	1	
1031	14	4000	1	[gamername]	这也行？！	4		1			S1000	1	
1032	10	4000	1	[gamername]	你确定禁军就在附近？	1		1			S1000	1	
1032	11	4001	2	狼人	当然，那股香喷喷的腌肉味，我想忘也忘不了。	1		1			S1000	1	
1032	10	1017	2	双枪死神	我，死神，奉命来索取你的性命！	3		1			S1000	1	
1032	11	4001	2	狼人	[gamername]，小心，这人身上一股腐尸味，是个职业杀手，呕！我的胃口全没了！	3		1			S1000	1	
1032	12	4000	1	[gamername]	谁要你过来取我的命？禁军？	3		1			S1000	1	
1032	13	1017	2	双枪死神	抱歉，顾客的私人信息不便公开。	3		1			S1000	1	
1032	10	1017	2	双枪死神	他说得没错，你值那些金币。联军冉冉升起的希望之星……或者说，他们最后一根救命稻草。	4		1			S1000	1	
1032	11	4000	1	[gamername]	你说的他是谁？既然他花钱雇佣你杀人，我也能花钱让你透露他的名字吧？	4		1			S1000	1	
1032	12	1017	2	双枪死神	有趣的猎物！当然……只要有够重的筹码，天平总会倾斜的。	4		1			S1000	1	
1032	13	1017	2	双枪死神	主顾不是普通人，而是地狱死神阿比诺旦，他给了我一个灼烧的梦境，说给我的酬劳，就是被他捏在手上的性命。	4		1			S1000	1	
1032	14	4000	1	[gamername]	他不是在地底吗？他能用意念和你沟通？还能威胁你？	4		1			S1000	1	
1032	15	1017	2	双枪死神	……地狱死神是自由的。他要取你的性命，就是为了能让放逐之刃得到他背叛召唤师之后的快感和自由。	4		1			S1000	1	
1032	16	4000	1	[gamername]	……	4		1			S1000	1	
1033	10	4001	2	狼人	禁军的肉味就在这一带。	3		1			S1000	1	
1033	11	1018	2	洛丽	嘘，有声音！	3		1			S1000	1	
1033	10	1008	2	瑞雯	可恶，这么多禁军，却没有一个能问出点什么。	4		1			S1000	1	
1033	11	4000	1	[gamername]	呕！快来看这是什么！又腥又臭！	4		1			S1000	1	
1033	12	1008	2	瑞雯	半凝固的蓝色液体，总觉得在哪里看到过。这种血腥味，也似曾相识……	4		1			S1000	1	
1033	13	4000	1	[gamername]	我有种不好的预感，有必要带回去检测一下。	4		1			S1000	1	
1034	10	4000	1	[gamername]	乌瑟尔，你注意到没有，圣光穗羽从刚才开始就一直闪。	1		1			S1000	1	
1034	11	1021	2	圣骑士	不知道中了什么邪，难道是被臭水熏到了？我先收起来。	1		1			S1000	1	
1034	10	4001	2	月之女祭祀	窃贼，放下你们手中的东西！	5	5016	1			S1000	1	
1034	11	4000	1	[gamername]	你指这个臭水？这是你的东西？对不起，我们只是想搞清楚禁军想做什么。	5	5016	1			S1000	1	
1034	12	4001	2	月之女祭祀	对月之祭祀来说，你们没什么区别！	5	5016	1			S1000	1	
1034	10	4001	2	月之女祭祀	阿银！安静！难道[46f1f3]生命泉眼[-]那有什么问题？	4		1			S1000	1	
1034	11	4000	1	[gamername]	如果需要，我们可以提供帮助。	4		1			S1000	1	
1034	12	4001	2	月之女祭祀	看来没有其他选择……别耍花招，否则你会被就地裁决！	4		1			S1000	1	
1035	10	4001	2	月之女祭祀	小鹿斑比，您没事吧？	5	5017	1			S1000	1	
1035	11	4001	2	小鹿斑比	没事。不过禁军趁月之祭祀，我最虚弱的时候，洗劫了森林！	5	5017	1			S1000	1	
1035	12	4001	2	小鹿斑比	[f3466e]生命之源[-]……生命之源全被……你是谁！为什么会拿着生命之源！	5	5017	1			S1000	1	
1035	13	4000	1	[gamername]	你指我手上的臭水？等一下，我可以解释！	5	5017	1			S1000	1	
1035	10	4001	2	小鹿斑比	你为什么一直隐藏实力？难道你不是禁军？	4		1			S1000	1	
1035	11	4000	1	[gamername]	如果你刚才听我解释，不就早知道了！	4		1			S1000	1	
1035	12	4001	2	小鹿斑比	那你为什么会拿着生命之源？	4		1			S1000	1	
1035	13	4000	1	[gamername]	我们是过来调查禁军的联军，看到这液体很奇怪，打算带回去检测一下。	4		1			S1000	1	
1035	14	4001	2	月之女祭祀	没有必要检测了，那是禁军朝思暮想的东西——生命之源，或者简称[f3466e]泉水[-]。	4		1			S1000	1	
1036	10	4000	1	[gamername]	生命之源到底是什么？禁军要它有什么用？	1		1			S1000	1	
1036	11	4001	2	小鹿斑比	生命之源，传说中地球所有生命的源头。现在也依然支配着所有的生命。	1		1			S1000	1	
1036	12	4001	2	小鹿斑比	泉水一旦枯竭，人类和其他生物会发生质的改变，战争，瘟疫，杀戮……直到完全灭亡。	1		1			S1000	1	
1036	13	4000	1	[gamername]	我小时候也在星云大陆听过类似的传说……但这不就是传说吗？	1		1			S1000	1	
1036	14	4001	2	小鹿斑比	是的，原来生命之源只存在于精神层面。我是自古以来的泉水守护者，所以很清楚。	1		1			S1000	1	
1036	15	4001	2	小鹿斑比	但是两百年前那场灾难之后，它受到某种超自然力的影响，被实体化了。	1		1			S1000	1	
1036	10	1018	2	洛丽	……怎么样，老狼，有线索？	3		1			S1000	1	
1036	11	4001	2	狼人	又腥又香，移动的盛宴！哦，真让人兴奋！就在这里！	3		1			S1000	1	
1036	10	4000	1	[gamername]	泉水现在在什么地方？！	4		1			S1000	1	
1036	11	4004	2	肉山	去地狱里找找吧！人类！	4		1			S1000	0.5	
1036	12	1008	2	瑞雯	你最好知道点什么，放逐之刃可不想听废话。	4		1			S1000	1	
1036	13	4004	2	肉山	放逐之刃？我记得你，地狱死神的老朋友。真可惜，你本来是个好材料……	4		1			S1000	0.5	
1036	14	4000	1	[gamername]	瑞雯！我们本来可以问出点什么！	4		1			S1000	1	
1036	15	1008	2	瑞雯	我不认为他知道什么。走吧，妮得应该有线索。	4		1			S1000	1	
1036	16	4000	1	[gamername]	……	4		1			S1000	1	
1041	10	4001	2	妮得	禁军夺走了生命之源？天啊！情报部甚至都不知道他们知道泉水的存在！	1		1			S1000	1	
1041	11	4000	1	[gamername]	我们的情报部早就知道生命之源？……那我们该怎么追回它？	1		1			S1000	1	
1041	12	4001	2	妮得	不。比起追回，我要你们先去大陆桥。那里还有几处泉水，只是不知道具体出水地点。	1		1			S1000	1	
1041	13	4001	2	妮得	你先去定位它们，然后等工程队接手保护。	1		1			S1000	1	
1041	14	4000	1	[gamername]	遵命，长官！	1		1			S1000	1	
1041	10	4000	1	[gamername]	小鹿斑比，泉水不止1处？怎么会出现在大陆桥？	3		1			S1000	1	
1041	11	4001	2	小鹿斑比	精神层面的泉水，在诸神分权时期就交给不同的神保管了。比如熵洲大陆是内瑟斯。	3		1			S1000	1	
1041	12	4000	1	[gamername]	可惜当内瑟斯和其他神堕落之后，泉水自然而然就枯竭了。大陆桥一定有正义之神在守护着生命之源。	3		1			S1000	1	
1041	13	4001	2	小鹿斑比	我们怎么才能找到这里的几处泉水？	3		1			S1000	1	
1041	14	4000	1	[gamername]	不用担心，作为守护者，多多少少我能感知到它们。	3		1			S1000	1	
1041	15	4001	2	小鹿斑比	大陆桥应该还有6处泉水，如果我没猜错的话。	3		1			S1000	1	
1041	10	4000	1	[gamername]	这是什么？	4		1			S1000	1	
1042	11	1008	2	瑞雯	看上去是某种怪物的黏液，看来禁军又进化出了新品种。	4		1			S1000	1	
1042	12	4000	1	[gamername]	呕！	4		1			S1000	1	
1043	10	4001	2	蛤蟆文太	等等……你是小鹿斑比？生命之源的最高守护者？我小时候，曾经和爷爷一起拜见过你。	4		1			S1000	1	
1043	11	4001	2	小鹿斑比	你爷爷是谁？	4		1			S1000	1	
1043	12	4001	2	蛤蟆文太	海神的授意者宫田真司。我们世代奉命守护这一处生命之源。	4		1			S1000	1	
1043	13	4001	2	小鹿斑比	原来是宫田真司那个孩子。不过我记得你们家是纯血种的人类，而不是……	4		1			S1000	1	
1043	14	4001	2	蛤蟆文太	那场灾难过后，我们家族的实力大不如以前，仇家下了诅咒，把我变成了现在这个样子。	4		1			S1000	1	
1043	15	4001	2	小鹿斑比	原来如此……总有一天，泉水会治愈你的。	4		1			S1000	1	
1044	10	4001	2	小鹿斑比	文太，你知道其他泉水在哪里？	1		1			S1000	1	
1044	11	4001	2	蛤蟆文太	不清楚。但我记得家训中有一条，说海神的旨意全都留在了[46f1f3]奥辛神殿[-]。那里或许能找到点什么。	1		1			S1000	1	
1044	12	4001	2	小鹿斑比	海神已经不在了？没有神的守护，泉水会枯竭的。那到底是哪一位神在守护着这里……	1		1			S1000	1	
1045	10	1008	2	瑞雯	这壁画……总觉得在哪里见过，是大陆桥这一带的地图？	1		1			S1000	1	
1045	11	4001	2	蛤蟆文太	没错，但是上面还有一些奇怪的点状记号，我一直搞不明白是什么。	1		1			S1000	1	
1045	12	4000	1	[gamername]	北极星……地轴……这是占星图。我明白了！天平座的四颗星和已发现的泉水位置是重叠的！	1		1			S1000	1	
1045	13	4001	2	蛤蟆文太	也就是说……其他两处泉水都在巨石阵附近！	1		1			S1000	1	
1046	10	4000	1	[gamername]	多谢了！大叔！	4		1			S1000	1	
1046	11	1015	2	黑魔导士	大叔？看来你什么都不记得了。	4		1			S1000	1	
1046	12	4001	2	狼人	他身上有奇怪的味道，不，这味道是……不可能！	4		1			S1000	1	
1046	13	1015	2	黑魔导士	你没闻错，小狗。我是夜神诺克斯的化身，黑魔导士，这里的新保护者。	4		1			S1000	1	
1046	14	1008	2	瑞雯	黑魔导士？我记得你帮助过禁军！熵洲失陷那一战，你是罪魁祸首！	4		1			S1000	1	
1046	15	1015	2	黑魔导士	但是生命之源仍然认可了我，如果我是堕落的，它就会枯竭，但它现在是这个星球最后的生命之源了。因为真正堕落的，是人类！	4		1			S1000	1	
1046	16	4000	1	[gamername]	你疯了吧？堕落？那你为什么还来帮助我们？	4		1			S1000	1	
1046	17	1015	2	黑魔导士	因为只有堕落的才能被拯救，特别是你，[gamername]。有个见面礼要送给你，禁军就是用这玩意来抽取生命之源的。	4		1			S1000	1	
1046	18	4000	1	[gamername]	这个抽泵……有我们联军的标志！！	4		1			S1000	1	
1051	10	4000	1	[gamername]	妮得长官，禁军用来抽取生命之源的抽泵，是从我们这里拿到的？	1		1			S1000	1	
1051	11	4001	2	妮得	既然你们已经知道了，又何必来问我？	1		1			S1000	1	
1051	12	4000	1	[gamername]	我们想知道真相，所有的。	1		1			S1000	1	
1051	13	4001	2	妮得	好吧，我就知道让你们深入搜查核心会有这样的结果。	1		1			S1000	1	
1051	14	4001	2	妮得	你们以为魂石和魔导柱是天然形成的？不，它们是做出来的，主要成分就是生命之源。	1		1			S1000	1	
1051	15	4000	1	[gamername]	但是生命之源是——	1		1			S1000	1	
1051	16	4001	2	妮得	我知道！但是我们不开发它，这个星球就会被禁军攻陷！	1		1			S1000	1	
1051	17	4000	1	[gamername]	我们别无办法……除了拿自己的生命做抵押。	1		1			S1000	1	
1051	18	4001	2	妮得	所以你知道我们为什么必须胜利了？因为自始至终我们从来没有扭转过局势。	1		1			S1000	1	
1051	19	4001	2	妮得	我们只是凭着自己的肉身在抵抗禁军。一旦失败，就一无所有。	1		1			S1000	1	
1051	10	4001	2	妮得	魔导士的生命之源支撑不了多久……。	3		1			S1000	1	
1051	11	4001	2	妮得	禁军的主力部队在末日要塞，我要你先破坏他们哨所的情报系统。	3		1			S1000	1	
1054	10	1008	2	禁军暴君	奥利修斯殿下，不会饶恕你们的……	4		1			S1000	0.5	
1054	11	4000	1	[gamername]	殿下？瑞雯，他指的是谁？	4		1			S1000	1	
1054	12	1008	2	瑞雯	禁军的最高首领。他们奉行君主制度，而奥利修斯自称为王。	4		1			S1000	1	
1054	13	4000	1	[gamername]	我想起来了，星云大陆被占领的时候，我们还要对他念祷告诗。	4		1			S1000	1	
1054	14	4000	1	[gamername]	但我一直以为那只是个可笑的外号……	4		1			S1000	1	
1055	10	4000	1	[gamername]	我没看错吧？他们派重兵把守着一条破船？	1		1			S1000	1	
1055	11	1008	2	瑞雯	不是一般的船！这是幽灵之船，在禁军入侵之战中，受到了海底混沌的吞噬。	1		1			S1000	1	
1055	12	1008	2	瑞雯	多亏了这个混沌，现在它能在各个平行世界里自由穿梭了。	1		1			S1000	1	
1055	13	1008	2	瑞雯	也就是说禁军要把生命之源带到其他世界？看来我们没别的选择！	1		1			S1000	1	
1055	10	4001	2	奥利修斯	跪下，下贱杂种。	4		1			S1000	0.5	
1055	11	4000	1	[gamername]	你是……禁军头领？	4		1			S1000	1	
1055	12	4001	2	奥利修斯	奥利修斯殿下，你只被允许叫这个名字！接受制裁吧！	4		1			S1000	0.5	
1056	10	4000	1	[gamername]	成功了？你为什么在笑？	4		1			S1000	1	
1056	11	4001	2	奥利修斯	愚蠢的杂种，打败我是没用的，因为生命之源已经抛弃了你们。	4		1			S1000	0.5	
1056	12	4000	1	[gamername]	生命之源是人类的根源，就是人类自己，怎么可能会抛弃——抛弃？	4		1			S1000	1	
1056	13	4001	2	奥利修斯	看来你什么都不知道，生命之源有自我意识。	4		1			S1000	0.5	
1056	14	4001	2	奥利修斯	你们的召唤魔法，不仅消耗生命之源本身。还却违背她的原则，带回了本该已经死去的英雄。	4		1			S1000	0.5	
1056	15	4000	1	[gamername]	我们没有其他选择，如果不这么做，地球就会……这难道就是你们的真正目的？	4		1			S1000	1	
1056	16	4001	2	奥利修斯	没错，我从两百年前开始，直到现在所做的一切，就是让你们的生命之源接受我的血统！	4		1			S1000	0.5	
1056	17	4001	2	奥利修斯	我一直无法真正接触生命之源，直到在狂吠之地得到了你们的抽泵。	4		1			S1000	0.5	
1056	18	4001	2	奥利修斯	后来我发现，即使没有抽泵，我也能触碰它，她认可我了。感谢你们的背叛，我的计划终于成功了！	4		1			S1000	0.5	
